Code,Lat,Lon,Year,ANPP,MAT,MAP,SOL,PET,AI,STN,SOC,PH,BD,CN,SILT,CLAY,ELEV,ASP,SLOPE,Formation,predictValues
1,60.6,7.5,1969,427,-0.14,791.9,3198.50208,256.338,2.733,0.76829,13.069,5.9089,1.0011,17.011,18.514,17.894,1216,188.926,3.25632,"Boreal Grassland, Meadow & Shrubland",354.3722381
2,60.6,7.5,1969,293,-0.14,791.9,3198.50208,256.338,2.733,0.76829,13.069,5.9089,1.0011,17.011,18.514,17.894,1216,188.926,3.25632,"Boreal Grassland, Meadow & Shrubland",354.3722381
3,54,-105,1971,252,2.754,492.774,4475.81376,581.714,0.5907,0.3695,5.3568,5.3754,1.4296,14.497,26.441,11.77,595,205.242,0.464677,"Temperate Grassland, Meadow & Shrubland",254.4584
4,52.05,113.5,0,222,-1.24167,358,4633.20864,911,0.3925,0.80356,8.574,6.8178,1.2376,10.67,28.026,21.018,703,248.332,2.5689,"Temperate Grassland, Meadow & Shrubland",211.8289444
5,51.67,36.5,1970,545,5.5,569.8,3628.43712,638.191,0.6955,0.856842,9.7921,6.71902,1.13198,11.4614,30.8254,24.6134,205,351.115,0.587759,"Temperate Grassland, Meadow & Shrubland",469.8404111
6,51.67,71,1977,205,-0.15,406,4443.49152,845.594,0.2773,0.569622,7.47986,6.93764,1.18562,13.134,24.014,20.3366,363,284.93,0.386527,Cool Semi-Desert Scrub & Grassland,217.7262333
7,51.83,94.42,1978,105,0.161,269.261,4555.02528,621.147,0.3476,0.851019,10.8885,6.10187,1.03755,12.8316,25.3344,17.959,786,75.9015,3.66909,Cool Semi-Desert Scrub & Grassland,162.0454095
8,50.7,-107.72,1970,170,1.9,347.3,4861.52928,797.769,0.3247,0.688888,7.25908,6.68984,1.45894,10.5378,39.4698,25.4242,660,107.811,1.41398,"Temperate Grassland, Meadow & Shrubland",164.0698952
9,50.7,-107.72,1970,159,1.9,347.3,4861.52928,797.769,0.3247,0.688888,7.25908,6.68984,1.45894,10.5378,39.4698,25.4242,660,107.811,1.41398,"Temperate Grassland, Meadow & Shrubland",164.0698952
10,50.7,-107.72,1970,152,6.416,375.995,4861.52928,797.769,0.3247,0.688888,7.25908,6.68984,1.45894,10.5378,39.4698,25.4242,660,107.811,1.41398,"Temperate Grassland, Meadow & Shrubland",158.3020048
11,49.49,118.4,2001,160,0.812,212.5,5117.07456,812.386,0.2935,0.495366,4.40586,7.14754,1.41704,8.90002,36.6854,21.1926,605,196.208,1.59312,"Temperate Grassland, Meadow & Shrubland",152.2854333
12,49.49,118.21,2001,179,0.947,205.499,5141.72448,813.642,0.2874,0.476144,4.54014,7.1915,1.38423,9.53327,24.6505,21.6821,608,273.713,1.45736,"Temperate Grassland, Meadow & Shrubland",169.5525333
13,49.49,117.11,2001,190,0.542,185.329,5122.5696,780.226,0.2651,0.479366,5.83182,7.19766,1.39426,12.167,33.7182,21.6055,781,179.311,0.911883,"Temperate Grassland, Meadow & Shrubland",175.0160333
14,49.49,118.46,2001,109,0.84,215.174,5110.128,811.12,0.298,0.488752,4.623,7.13482,1.40169,9.46292,36.8,21.0549,619,96.3024,1.26676,"Temperate Grassland, Meadow & Shrubland",131.3463333
15,49.52,119.8,2001,194,-0.049,257.96,5090.06592,736.625,0.3778,0.521372,7.82208,7.075,1.3048,15.011,43.076,23.1786,637,332.213,1.36192,"Temperate Grassland, Meadow & Shrubland",197.1651667
16,49.62,119.79,2001,214,-0.268,273.741,5058.91008,715.97,0.4046,0.540392,8.19047,6.80549,1.23562,15.1143,42.5207,23.4429,739,137.58,1.99928,"Temperate Grassland, Meadow & Shrubland",218.4897333
17,49.47,120.06,2001,181,-0.614,274.037,5068.68192,702.76,0.4075,0.556711,6.70389,6.88893,1.2723,12.0443,41.2159,22.8127,734,237.808,1.96642,"Temperate Grassland, Meadow & Shrubland",183.339
18,49.81694444,120.1247222,2006,267,-0.676,316.549,5041.3104,615.265,0.4609,0.494196,8.51117,6.79112,1.21015,17.2204,43.4137,21.536,796,123.225,1.85063,"Temperate Grassland, Meadow & Shrubland",262.5260333
19,49.81666667,120.1333333,1981,268,-1.568,340.294,4917.30912,640.825,0.4546,0.53976,8.458,6.7589,1.2215,15.67,41.477,22.755,748,154.355,1.54389,"Temperate Grassland, Meadow & Shrubland",253.7749667
20,49.68333333,120.1333333,1980,248,-1.855,408.387,4957.48512,560.094,0.4547,0.58031,7.7433,6.8141,1.207,13.344,37.833,21.702,797,248.548,3.05404,"Temperate Grassland, Meadow & Shrubland",234.7297333
22,48.81,116.79,2001,60,1.785,158.03,5234.2848,888.608,0.2043,0.529002,3.92346,7.21671,1.39301,7.41744,27.2588,15.9499,568,172.75,0.590747,"Temperate Grassland, Meadow & Shrubland",87.64960866
23,49.29,119.73,2001,137,0.173,242.44,5132.96352,766.464,0.3524,0.529536,6.40114,7.03249,1.36419,12.0938,41.7023,21.727,697,250.068,2.55326,"Temperate Grassland, Meadow & Shrubland",146.4148
24,49.28,119.19,2001,158,0.481,230.368,5154.34752,780.575,0.3274,0.466418,5.01292,7.1921,1.37182,10.7513,40.1218,16.8576,608,60.0983,0.652809,"Temperate Grassland, Meadow & Shrubland",155.1345667
25,48.48,119.65,2001,191,-0.063,257.1,5181.09696,786.4,0.3505,0.498624,7.30472,6.96164,1.246,14.648,41.1672,22.4904,744,58.1606,0.742445,"Temperate Grassland, Meadow & Shrubland",199.2169333
26,49.21,117.13,2001,192,1.001,179.098,5160.69792,836.558,0.2356,0.499824,4.54717,7.17388,1.42983,9.09839,33.75,20.6948,723,134.532,0.982539,"Temperate Grassland, Meadow & Shrubland",172.2316
27,48.44,117.39,2001,181,1.613,165.683,5308.44192,879.053,0.2106,0.522441,4.52587,7.17609,1.38936,8.66243,32.6914,16.6587,635,105.737,0.250269,"Temperate Grassland, Meadow & Shrubland",157.7473667
28,48.76,118.7,2001,130,0.492,208.221,5232.49632,824.917,0.2851,0.508792,5.56676,7.17136,1.29902,10.9408,28.829,17.7482,705,261.242,0.306344,"Temperate Grassland, Meadow & Shrubland",143.0852333
29,48.84,119.22,2001,161,0.385,226.121,5190.45408,795.111,0.3154,0.503524,4.9333,7.06508,1.36693,9.79407,38.7274,23.315,644,90.537,0.576465,"Temperate Grassland, Meadow & Shrubland",158.6041571
30,48.41,118.6,2001,155,0.481,206.937,5267.2032,829.632,0.2741,0.501412,4.6766,7.17406,1.39196,9.33312,39.5302,20.6728,751,140.05,0.838939,"Temperate Grassland, Meadow & Shrubland",156.8522
31,49.33,119.97,2001,210,-0.112,257.899,5103.31104,734.878,0.3767,0.518225,7.96195,6.90179,1.25343,15.3656,43.7446,24.0064,658,34.4457,1.11966,"Temperate Grassland, Meadow & Shrubland",212.6012
32,48.89,119.79,2001,127,0.08,246.342,5191.36128,780.044,0.345,0.540897,6.46822,7.05682,1.34093,11.959,37.147,19.4738,647,47.3928,0.697768,"Temperate Grassland, Meadow & Shrubland",146.2515333
33,49.05,119.54,2001,126,0.073,235.829,5181.6672,754.489,0.3473,0.53261,6.69892,7.09094,1.34918,12.5774,41.8944,22.66,707,273.101,0.441264,"Temperate Grassland, Meadow & Shrubland",143.2403333
34,49.4,120.06,2001,155,-0.435,267.842,5073.84,716.509,0.3933,0.561148,6.50478,6.95918,1.26668,11.5892,44.328,25.2482,647,177.385,0.274727,"Temperate Grassland, Meadow & Shrubland",161.0047333
35,48.81,86.91,2001,153,-2.722,402.43,4857.12288,503.813,0.4198,0.706092,9.26578,6.97256,1.08676,13.106,39.262,21.6515,1785,112.693,7.18433,"Alpine Scrub, Forb Meadow & Grassland",173.5706333
36,49.06388889,120.3019444,2006,261,-0.453,306.984,5122.1808,659.237,0.4105,0.536726,7.12281,6.77612,1.23999,13.2726,35.6151,22.0827,727,168.672,0.539909,"Temperate Grassland, Meadow & Shrubland",232.7763667
37,48.76694444,120.75,2006,162,-1.51,363.11,5042.9952,584.864,0.5273,0.68696,9.33099,6.16148,1.1267,13.5806,28.5588,17.81,974,61.8769,3.60208,"Temperate Grassland, Meadow & Shrubland",182.4679905
38,48.46111111,120.6880556,2006,230,-1.312,369.375,5060.25792,597.594,0.505,0.620005,7.00755,6.2697,1.17609,11.3115,28.948,19.1514,926,290.888,3.1918,"Temperate Grassland, Meadow & Shrubland",227.1590667
39,49.06666667,120.3,1982,226,-0.431,436.595,4993.6176,680.819,0.4087,0.53977,7.0265,6.7862,1.241,13.018,34.913,22.744,724,109.795,0.610144,"Temperate Grassland, Meadow & Shrubland",223.0849667
40,48.76666667,118.75,1984,131,-1.511,416.277,4982.44608,643.393,0.2894,0.50642,5.0719,7.1294,1.3552,10.015,37.743,22.802,709,263.611,0.329342,"Temperate Grassland, Meadow & Shrubland",157.2729571
41,49.06666667,120.3,1983,247,-0.762,394.503,4872.54528,549.873,0.4087,0.53977,7.0265,6.7862,1.241,13.018,34.913,22.744,724,109.795,0.610144,"Temperate Grassland, Meadow & Shrubland",219.3207
42,48.6,119.9666667,1983,128,-0.432,389.071,4955.15232,572.153,0.3898,0.56678,7.721,6.7075,1.1999,13.623,36.18,21.603,815,311.438,0.914628,"Temperate Grassland, Meadow & Shrubland",161.601
43,49.06666667,120.3,1985,158,-1.745,423.343,4993.82496,640.403,0.4087,0.53977,7.0265,6.7862,1.241,13.018,34.913,22.744,724,109.795,0.610144,"Temperate Grassland, Meadow & Shrubland",190.5116667
44,48.6,119.9666667,1985,173,-1.575,410.382,5062.40928,653.719,0.3898,0.56678,7.721,6.7075,1.1999,13.623,36.18,21.603,815,311.438,0.914628,"Temperate Grassland, Meadow & Shrubland",180.3322667
45,48.46666667,119.6833333,1985,229,-1.333,392.382,5073.26976,696.679,0.3542,0.49155,7.5927,6.8327,1.224,15.447,40.197,22.347,747,20.4122,0.706957,"Temperate Grassland, Meadow & Shrubland",233.1705667
46,48.46111111,120.6880556,1993,243,-1.261,281.3,4796.39232,495.306,0.505,0.620005,7.00755,6.2697,1.17609,11.3115,28.948,19.1514,926,290.888,3.1918,"Temperate Grassland, Meadow & Shrubland",231.8145667
47,49.33,46.78,1987,139,5.9,415,4224.0528,796.708,0.2387,0.623704,5.45913,7.33299,1.25015,8.75713,41.3508,23.6211,22,0,0,Cool Semi-Desert Scrub & Grassland,200.4263
48,48.76666667,118.75,1984,165,-1.511,416.277,4982.44608,643.393,0.2894,0.50642,5.0719,7.1294,1.3552,10.015,37.743,22.802,709,263.611,0.329342,"Temperate Grassland, Meadow & Shrubland",157.2729571
49,48.45,119.6833333,1989,510,0.781,407.325,5016.21984,720.208,0.3576,0.52395,7.3047,6.8654,1.2472,13.942,40.644,23.014,763,210.897,0.684541,"Temperate Grassland, Meadow & Shrubland",371.5215
50,48.45,121.3,1990,474,-0.687,624.604,4702.17312,515.048,0.5504,0.72218,7.6862,6.1213,1.1681,10.643,31.169,17.317,990,194.521,1.93195,"Temperate Grassland, Meadow & Shrubland",386.2980667
51,48.7742,109.095,2007,105,-2.269,325.93,5005.51488,555.273,0.6068,0.72979,8.50344,6.43678,1.11532,11.6552,35.3279,16.7607,2058,257.678,9.59351,"Temperate Grassland, Meadow & Shrubland",160.5657754
52,48.81666667,16,2006,356,9.557,570.193,4224.5712,776.613,0.5373,0.59839,5.055,6.356,1.3869,8.4477,43.545,23.119,301,116.841,2.04576,"Alpine Scrub, Forb Meadow & Grassland",386.351
53,49.35,120.12,2010,210,-3.008333333,336.85,5129.9568,631.408,0.3935,0.544976,7.21822,6.92804,1.27256,13.2432,43.6316,23.3934,657,264.727,0.675593,"Temperate Grassland, Meadow & Shrubland",146.5213667
54,49.35,120.12,2010,42,-3.008333333,336.85,5129.9568,631.408,0.3935,0.544976,7.21822,6.92804,1.27256,13.2432,43.6316,23.3934,657,264.727,0.675593,"Temperate Grassland, Meadow & Shrubland",146.5213667
55,47.53,86.82,2001,29,4.216,268.992,5131.66752,877.077,0.1622,0.409794,1.71813,7.56341,1.31516,4.19258,31.2297,22.665,980,169.555,2.75537,Cool Semi-Desert Scrub & Grassland,51.68896667
56,48.07,87.01,2001,154,2.852,292.013,5073.14016,852.216,0.187,0.408987,2.73486,7.35933,1.33406,6.68897,27.662,16.7559,892,210.31,2.88,"Alpine Scrub, Forb Meadow & Grassland",126.7781333
57,47.73,87.75,2001,103,4.843,222.541,5188.69152,869.665,0.1373,0.414418,1.97072,7.55554,1.28476,4.7714,28.638,23.0752,845,52.4929,1.8502,"Alpine Scrub, Forb Meadow & Grassland",86.32406667
58,48.2,118.1,2001,101,1.35,181.551,5311.03392,866.302,0.2331,0.5213,4.3581,7.2151,1.3771,8.3601,18.419,12.194,590,32.9853,0.0458628,"Temperate Grassland, Meadow & Shrubland",137.1050667
59,47.65,119.3,2001,152,-0.657,260.498,5250.12192,757.899,0.3489,0.52409,6.5498,6.7778,1.208,12.497,31.455,20.447,856,29.8299,0.547856,"Temperate Grassland, Meadow & Shrubland",175.8422
60,48.21666667,119.6666667,1985,162,-1.629,397.862,5121.2736,632.653,0.3781,0.51508,7.2009,6.7928,1.2102,13.98,37.001,21.636,829,191.136,0.752573,"Temperate Grassland, Meadow & Shrubland",185.3919333
61,47.4,112.5,1988,174,1.5,269,5404.94208,720.881,0.2418,0.53192,4.7124,7.1867,1.4076,8.8592,34.122,17.431,1072,283.119,1.11443,"Temperate Grassland, Meadow & Shrubland",176.2076881
62,48.28333333,118.7666667,1988,329,0.125,375.531,5188.22496,757.55,0.2804,0.50556,4.9496,7.1263,1.3533,9.7903,38.018,20.027,715,327.332,0.398139,"Temperate Grassland, Meadow & Shrubland",252.5943143
63,47.7849,108.466,2007,122,2.038,176.492,5334.90624,780.062,0.2756,0.513257,5.6253,6.9809,1.38882,10.9605,23.2865,16.6383,1313,148.479,0.0887132,"Temperate Grassland, Meadow & Shrubland",134.7770667
64,47.5,-102,1958,183,7.469,314.488,5017.64544,957.043,0.3403,0.81884,6.9392,6.6824,1.4898,8.4745,29.699,17.618,589,90.2211,1.39309,"Temperate Grassland, Meadow & Shrubland",179.8811429
65,47.5,-102,1966,77,7.469,390.962,4924.33344,877.185,0.3403,0.81884,6.9392,6.6824,1.4898,8.4745,29.699,17.618,589,90.2211,1.39309,"Temperate Grassland, Meadow & Shrubland",129.6979
66,47.5,-102,1958,200,7.469,314.488,5017.64544,957.043,0.3403,0.81884,6.9392,6.6824,1.4898,8.4745,29.699,17.618,589,90.2211,1.39309,"Temperate Grassland, Meadow & Shrubland",179.8811429
67,46.6,86.02,2001,45,5.519,253.017,5266.99584,985.169,0.145,0.448298,2.74144,7.71952,1.29836,6.11442,29.7446,23.7758,1025,282.772,1.89883,Cool Semi-Desert Scrub & Grassland,57.90563333
68,46.69,86.1,2001,48,4.607,266.628,5237.784,921.959,0.1581,0.426464,2.5301,7.74578,1.33124,5.93246,31.81,18.6998,1043,299.581,1.50261,Cool Semi-Desert Scrub & Grassland,61.0335
69,46.81,86.29,2001,119,4.481,281.931,5213.39328,895.674,0.1675,0.435398,2.44994,7.69411,1.34191,5.62687,32.0852,23.199,1112,162.131,0.751624,Cool Semi-Desert Scrub & Grassland,96.88726667
70,46.97,86.52,2001,59,3.414,312.787,5116.40064,865.498,0.1882,0.446498,4.56364,7.35068,1.31099,10.2216,36.5848,20.1431,1235,126.691,1.68062,Cool Semi-Desert Scrub & Grassland,91.81976667
71,47.28,86.18,2001,47,3.731,326.255,5110.20576,849.498,0.2093,0.444278,2.39318,7.35908,1.31457,5.3866,30.0528,18.1294,1166,44.5742,1.11114,Cool Semi-Desert Scrub & Grassland,65.51823333
72,47.13,86.65,2001,51,3.785,289.866,5125.68,879.526,0.1682,0.434982,2.63164,7.49026,1.33558,6.0513,36.7802,20.72,1132,46.695,1.59798,Cool Semi-Desert Scrub & Grassland,71.91566667
73,47.06,89.49,2001,64,1.344,180.841,5288.79456,850.687,0.1295,0.459945,3.5633,7.26656,1.20318,7.7359,36.4672,24.5978,1211,220.253,11.4988,"Alpine Scrub, Forb Meadow & Grassland",90.71333333
74,46.54,90.01,2001,92,2.412,171.131,5398.0992,860.377,0.1222,0.446816,1.70923,7.16921,1.30814,3.82563,28.8763,25.5541,1207,244.08,1.67985,"Alpine Scrub, Forb Meadow & Grassland",79.22146667
75,46.44,90.05,2001,63,3.418,165.307,5428.84032,881.05,0.1161,0.427914,1.55148,7.21184,1.31298,3.62558,30.0884,25.5652,1126,241.554,1.23398,"Alpine Scrub, Forb Meadow & Grassland",63.26326667
76,46.27,118.54,2001,99,0.502,241.893,5449.1616,851.545,0.274,0.530872,4.24112,7.02048,1.37193,7.99032,21.8409,11.3094,865,347.664,0.893989,"Temperate Grassland, Meadow & Shrubland",128.7017952
77,46.6,119.5,2001,149,-1.272,307.843,5314.68864,764.005,0.3803,0.5151,5.8804,6.9204,1.3077,11.416,34.247,23.427,1078,96.1516,1.13604,"Temperate Grassland, Meadow & Shrubland",163.4624238
78,47.22,85.71,2001,266,-0.505,447.991,4977.83232,622.723,0.3745,0.7023,9.98073,7.09291,1.14527,14.2043,42.7505,21.7006,2060,73.0898,5.49025,"Alpine Scrub, Forb Meadow & Grassland",242.9634333
79,46.63305556,120.3830556,2006,243,1.037,348.544,5366.83968,777.754,0.3607,0.613904,7.07089,6.41988,1.19246,11.519,25.5247,16.307,830,284.268,2.92546,"Temperate Grassland, Meadow & Shrubland",221.9253
80,46.63333333,122.3833333,1988,187,4.594,587.026,5192.44992,806.77,0.3324,0.54499,6.7971,7.1661,1.2743,12.472,30.149,17.784,328,287.818,0.846443,"Temperate Grassland, Meadow & Shrubland",260.5870429
81,47.17,38,1968,459,9.8,476.2,4382.73504,856.362,0.4995,0.781524,8.67658,7.36458,1.23582,11.1044,43.3392,38.828,50,193.73,0.573946,Cool Semi-Desert Scrub & Grassland,401.3123
82,46.58333333,124.5,1991,226,4.387,525.487,5042.2176,806.02,0.3583,0.63445,7.0786,7.5762,1.2549,11.157,27.199,24.184,146,219.098,0.097388,"Temperate Grassland, Meadow & Shrubland",243.4380762
83,47.0697,7.0627,2008,512,8.261,1069.16,4289.8896,691.638,1.1098,0.660714,11.9659,5.65831,1.194,18.3289,23.1132,24.5087,645,176.478,8.77164,"Alpine Scrub, Forb Meadow & Grassland",514.4113238
84,47.066,7.0496,2008,535,8.089,1091.68,4292.14464,688.358,1.1205,0.716827,11.913,6.07258,1.2326,16.6127,19.8009,26.3701,627,152.818,9.48642,"Alpine Scrub, Forb Meadow & Grassland",525.0580667
85,47.0096,7.5705,2008,462,8.217,1152.74,4351.99392,699.204,1.2697,0.617068,11.9527,5.40154,1.18335,19.401,26.2871,20.0114,659,311.484,4.71142,"Alpine Scrub, Forb Meadow & Grassland",505.8183
86,46.9955,7.4615,2008,754,8.518,1057.15,4350.64608,707.755,1.1408,0.622827,9.27913,6.3451,1.25613,14.8923,25.0418,25.1175,553,247.145,1.80939,"Alpine Scrub, Forb Meadow & Grassland",619.5032333
87,46.746,7.5887,2008,153,6.644,1048.76,4406.89248,709.959,1.114,0.605683,9.09301,6.45474,1.28647,15.0163,32.6503,23.3391,577,27.8427,0.9691,"Alpine Scrub, Forb Meadow & Grassland",270.4246
88,46.4621,8.9241,2008,414,2.328,1754.22,4547.22336,641.301,1.5484,0.769914,13.1293,5.18149,1.1075,17.0522,24.1341,22.6293,789,80.551,16.4566,"Alpine Scrub, Forb Meadow & Grassland",422.1110381
89,46.3643,8.075,2008,176,-0.505,1082.58,4800.98016,565.984,1.0788,0.910109,13.8342,4.99603,1.03099,16.8009,24.6293,19.0174,1171,307.918,18.446,"Alpine Scrub, Forb Meadow & Grassland",263.2491667
90,46.3608,8.0611,2008,550,-0.503,1071.21,4758.08256,599.079,1.0573,0.725006,13.2253,5.01884,1.04428,18.4142,27.2114,20.4517,1111,299.73,19.8827,"Alpine Scrub, Forb Meadow & Grassland",451.4099762
91,46.38194444,-105.9555556,2013,94,8.201,430.417,5074.41024,960.654,0.2309,0.429534,4.92978,6.92779,1.4855,11.5132,36.7677,25.2786,792,163.876,2.05644,"Temperate Grassland, Meadow & Shrubland",125.3819111
92,46.77,-100.92,1930,44,7.939,334.125,5055.48864,985.201,0.3464,0.815901,6.62522,6.79642,1.50319,8.13337,38.6145,23.6765,583,269.417,0.468253,"Temperate Grassland, Meadow & Shrubland",100.7307619
93,46.4,-119.55,1976,98,11.762,115.289,5062.66848,1178.69,0.1295,0.26595,2.5349,7.1178,1.571,9.5315,44.27,13.758,386,53.4057,3.61574,Cool Semi-Desert Scrub & Grassland,98.2058
94,47.32,-114.27,1976,272,7.722,323.156,4853.70144,924.87,0.3279,0.574712,7.31966,6.74542,1.56305,12.6876,42.7127,20.4948,1071,268.646,11.9718,Cool Semi-Desert Scrub & Grassland,269.9017762
95,46.4,-119.55,1969,111,11.762,193.16,5140.27296,1149.73,0.1295,0.26595,2.5349,7.1178,1.571,9.5315,44.27,13.758,386,53.4057,3.61574,Cool Semi-Desert Scrub & Grassland,101.8250857
96,46.9,-103.4,0,222,6.66667,388,4983.527726,1411,0.2749,0.62572,7.5489,6.9775,1.4707,12.064,40.961,21.317,816,62.7493,2.25117,"Temperate Grassland, Meadow & Shrubland",220.5998667
97,47.17,12.5,0,400,-1.38667,1510,4354.039954,624,2.4189,1.17396,17.0846,5.59144,0.92317,14.5606,12.0082,15.7358,2521,234.994,16.683,"Alpine Scrub, Forb Meadow & Grassland",313.1902714
98,47.22,11.33,0,344,5.407,1045,4379.516846,878,1.1903,0.994505,14.1744,4.94018,0.86976,14.714,32.4915,13.1579,1434,17.7379,16.3705,"Alpine Scrub, Forb Meadow & Grassland",341.7081667
99,47.32,-114.27,1976,278,7.722,323.156,4853.70144,924.87,0.3279,0.574712,7.31966,6.74542,1.56305,12.6876,42.7127,20.4948,1071,268.646,11.9718,Cool Semi-Desert Scrub & Grassland,269.9017762
100,46.4,-119.55,1969,72,12.8,183,5140.27296,1149.73,0.1295,0.26595,2.5349,7.1178,1.571,9.5315,44.27,13.758,386,53.4057,3.61574,Cool Semi-Desert Scrub & Grassland,92.9408
101,46.65,-99.35,1993,368,4.8,446,4480.84224,756.775,0.3687,0.92593,6.9532,7.2258,1.4732,7.5094,31.254,20.916,596,282.932,0.533367,"Temperate Grassland, Meadow & Shrubland",340.4789373
102,46.65,-99.35,1993,367,4.8,446,4480.84224,756.775,0.3687,0.92593,6.9532,7.2258,1.4732,7.5094,31.254,20.916,596,282.932,0.533367,"Temperate Grassland, Meadow & Shrubland",340.4789373
103,46.9,-102.82,1968,350,4.74,516.92,4989.28896,926.516,0.3234,0.602088,6.77896,6.69956,1.48462,11.2614,29.2052,19.3102,762,130.958,0.6086,"Temperate Grassland, Meadow & Shrubland",300.0605444
104,46.77719,9.97533,1999,43,-2.2,1600,4714.17408,335.36,1.9869,1.1646,17.3031,5.64198,0.946084,14.8569,8.9398,17.0417,2658,161.972,8.29707,"Alpine Scrub, Forb Meadow & Grassland",84.55483333
105,46.79147,9.97692,1999,89,-0.7,1600,4680.65952,361.803,1.8072,1.16999,17.6648,5.58647,0.887533,15.1217,11.0422,16.5055,2414,299.319,14.8172,"Alpine Scrub, Forb Meadow & Grassland",109.4477333
106,46.81831,9.97766,1999,94,1.1,1600,4615.62624,407.143,1.4179,1.15692,15.2337,5.53534,0.865072,13.1727,18.334,13.4615,2000,241.851,9.14796,"Alpine Scrub, Forb Meadow & Grassland",125.5532333
107,46.82676,9.97203,1999,120,1.4,1600,4602.6144,408.308,1.4292,1.17418,13.9201,5.52785,0.891624,11.8673,19.4252,13.7471,1978,270.5,17.6202,"Alpine Scrub, Forb Meadow & Grassland",136.0077333
108,46.83607,9.96617,1999,143,2.3,1600,4579.88256,417.12,1.3165,1.22519,13.9403,5.34107,0.873745,11.4064,24.0191,12.4732,1809,254.866,22.4213,"Alpine Scrub, Forb Meadow & Grassland",163.9036
109,46.51666667,-106.6333333,2010,116,7.281,393.579,5121.89568,1007.35,0.2034,0.51616,4.4478,7.449,1.4845,8.617,43.43,26.887,845,292.47,1.6927,"Temperate Grassland, Meadow & Shrubland",132.7115111
111,47.17,11,1978,85,-1.362,1199.51,4485.48192,278.095,1.8074,1.18168,17.4918,5.59332,0.928692,14.7974,11.4226,15.8998,2467,193.102,12.2455,"Alpine Scrub, Forb Meadow & Grassland",122.9580333
112,45.45,84.42,2001,67,7.996,194.924,5316.86592,1136.2,0.1062,0.394754,1.76196,7.80586,1.36842,4.46398,33.5478,21.4042,846,180.195,0.982329,Cool Semi-Desert Scrub & Grassland,63.06906667
113,45.58,84.22,2001,118,5.652,254.251,5213.08224,1041.85,0.1579,0.405016,2.79561,7.64285,1.36911,6.89814,33.1158,24.1192,1149,275.706,0.241453,Cool Semi-Desert Scrub & Grassland,109.2811667
114,46.24,84.11,2001,89,4.226,253.992,5214.7152,946.231,0.1715,0.402365,3.97409,7.66775,1.34998,9.85262,30.9406,23.227,974,190.931,1.63331,Cool Semi-Desert Scrub & Grassland,102.5316333
115,46.11,90.18,2001,28,4.418,153.299,5455.35648,917.257,0.1057,0.418238,1.50836,7.46543,1.3163,3.60545,29.3525,26.3748,1057,226.811,1.66812,"Alpine Scrub, Forb Meadow & Grassland",44.82613333
116,45.59,117.04,2001,81,1.65,190.243,5612.48352,880.579,0.2053,0.511872,4.50028,7.08924,1.4181,8.7925,31.4174,17.5562,914,272.703,1.15497,"Temperate Grassland, Meadow & Shrubland",106.7395333
117,45.41,116.91,2001,53,1.847,189.438,5616.16416,887.251,0.2009,0.505917,4.13428,7.02234,1.4473,8.17182,29.0963,15.9502,912,131.136,1.33276,"Temperate Grassland, Meadow & Shrubland",84.62957637
118,45.27,116.91,2001,154,1.585,195.973,5622.54048,869.222,0.2148,0.508099,5.91236,7.13727,1.19862,11.6346,20.6374,10.1072,1030,121.373,1.62488,"Temperate Grassland, Meadow & Shrubland",150.5787333
119,45.51,83.9,2001,98,4.345,312.35,5134.54464,912.611,0.2104,0.438568,3.76202,7.0386,1.33782,8.57718,34.388,23.384,1439,117.581,1.47816,Cool Semi-Desert Scrub & Grassland,100.2351556
120,45.59,83.65,2001,128,1.743,358.793,5067.56736,747.997,0.2969,0.536548,5.24668,6.92024,1.21406,9.7832,40.541,21.5382,1835,190.096,2.38289,Cool Semi-Desert Scrub & Grassland,126.298119
